⺁	⺁丿丿
䌨	糹艹󰁯小
䌩	糹艹罒人
䌪	糹門⺈臼
䌫	糹匚丨儿
䌬	糹立月三
䌭	糹艹亻灬
䌮	糹󰀙木目
䌯	糹艹口󰁷
䌰	糹耳耳耳
䌱	糹󰄹月丶
䌲	糹艹丿灬
䌳	糹一八丶
䌴	糹󰄹月丶
䌵	糹尸氺虫
䌶	纟󰀛丿󰁥
䌷	纟由󰀝
䌸	纟二󰁓丶
䌹	纟冂口󰀝
䌺	纟耳󰀝
䌻	纟羽󰀝
䌼	纟丷口儿
䌽	纟爫木󰁶
䌾	纟十冂十
䌿	纟一口田
䍀	纟〢𠂉皿
䍁	纟䒑󰀓辶
䍂	𠂉十凵󰀛
䍃	爫𠂉十凵
䍄	𠂉十凵口
䍅	𠂉十凵󰁻
䍆	𠂉十凵丁
䍇	𠂉十凵之
䍈	𠂉十凵十
䍉	𠂉十凵八
䍊	𠂉十凵乂
䍋	𠂉十凵󰁺
䍌	𠂉十凵口
䍍	士冖一又
䍎	𠂉十凵灬
䍏	冂〢一󰀌
䍐	罒干󰀬
䍑	冂乂乂干
䍒	罒木󰁧
䍓	罒󰀄亅丿
䍔	罒厶󰁧
䍕	罒󰁚󰀁丶
䍖	罒勹巳󰀅
䍗	罒亠幺󰁧
䍘	罒米󰁧
䍙	罒𠂉母󰁧
䍚	罒丶艮󰁧
䍛	罒囗古󰀘
䍜	罒亻󰁷󰀘
䍝	罒水日󰀘
䍞	冂乂乂󰀞
䍟	罒乂凵夂
䍠	罒亠乂厶
䍡	罒󰁙󰁴匕
䍢	罒𠂉一灬
䍣	罒󰀙田󰀘
䍤	罒󰀴󰀳󰀘
䍥	罒厂禾止
䍦	罒亠乂󰁷
䍧	牜羊󰀢
䍨	⺶一冂丨
䍩	⺶攵󰁶
䍪	⺶一木󰁶
䍫	⺶宀匕󰁀
䍬	⺶一丷十
䍭	⺶母󰁶
䍮	⺶儿󰀪󰁶
䍯	⺶⺈厂⺋
䍰	⺶囗大󰁶
䍱	⺶人一朩
䍲	⺶臼儿󰁀
䍳	⺶又又又
䍴	⺶禾女󰀝
䍵	⺶⺈󰁬亅
䍶	⺶木日󰀝
䍷	⺶󰁆口㐄
䍸	⺶甫寸󰁶
䍹	⺶丿目犬
䍺	⺶口口心
䍻	⺶巳巳八
䍼	⺶󰀄󰁜日
䍽	⺶厂禾止
䍾	一廾羽󰀝
䍿	羽王󰀘
䎀	羽戈󰁐󰁀
䎁	古羽󰀝
䎂	羽勹巳󰁀
䎃	冂土羽󰀝
䎄	刀口羽󰀝
䎅	白羽󰀝
䎆	羽人丶󰁻
䎇	丿󰁪羽󰀝
䎈	羽日󰁒丿
䎉	羽戈人󰁶
䎊	夂口羽󰀝
䎋	丿土口羽
䎌	羽口󰁾󰁶
䎍	羽甫󰁶
䎎	羽耳乚󰁀
䎏	人丶乛羽
䎐	十早羽󰀝
䎑	羽󰁭氺󰁶
䎒	羽戈戈󰁶
䎓	羽水日󰀝
䎔	羽甫寸󰁶
䎕	火火冖羽
䎖	丷󰀺日羽
䎗	丿大口羽
䎘	󰁬十󰀲羽
䎙	宀一󰀤羽
䎚	羽三丨心
䎛	土丿匕口
䎜	土丿󰁴匕
䎝	土丿匕羽
䎞	土丿日乛
䎟	女丆冂〢
䎠	九丶丆〢
䎡	丆冂〢火
䎢	二木𠂉乙
䎣	二木󰁐人
䎤	二木尸口
䎥	二木八口
䎦	二木火火
䎧	二木立口
䎨	二木大乚
䎩	二木巛田
䎪	二木日寸
䎫	二木乂夂
䎬	二木罒厶
䎭	二木丿辶
䎮	二木亠古
䎯	二木廿夫
䎰	二木󰁺斤
䎱	二木罒匕
䎲	耳乙󰁀
䎳	耳月󰀝
䎴	耳二󰀯󰀢
䎵	耳心丿󰁥
䎶	耳日丨󰀢
䎷	耳丿未󰁶
䎸	耳五口󰀝
䎹	丿米耳󰀘
䎺	耳𠂉一刂
䎻	耳󰀼土口
䎼	耳󰁭氺󰁶
䎽	耳󰁚󰀁日
䎾	耳人一艹
䎿	耳禾火󰁶
䏀	耳木口刂
䏁	耳宀辛󰀢
䏂	耳臼丨又
䏃	耳冖日六
䏄	耳宀八土
䏅	耳󰁯二小
䏆	耳一ㄇ日
䏇	耳覀二小
䏈	耳糹幺小
䏉	耳日幺灬
䏊	耳立月三
䏋	󰁬丨八巳
䏌	八月󰀘
䏍	厶月󰀘
䏎	月几丶󰁶
䏏	月一󰀛󰀢
䏐	月ユ人󰁶
䏑	󰁝冂人人
䏒	月丿丨󰁈
䏓	󰀼冫二儿
䏔	月󰁈丨一
䏕	月丿士󰀝
䏖	月弓丨󰀢
䏗	月气󰁀
䏘	月匚儿󰁀
䏙	月冖󰁜󰁀
䏚	月小丿󰁥
䏛	月勹冫󰀝
䏜	月乃󰂃󰁶
䏝	月二󰁓丶
䏞	月一木󰁶
䏟	月心丿󰁥
䏠	月立󰀝
䏡	月二小󰁶
䏢	月皮󰁶
䏣	月󰀐一󰀝
䏤	月𠃌一口
䏥	月冂土󰀝
䏦	月丿古󰀝
䏧	月夕夕󰁶
䏨	月丿󰃧󰀝
䏩	月人一口
䏪	月耳󰀝
䏫	月亻木󰁶
䏬	月厶丿󰀟
䏭	月丿未󰁶
䏮	月力󰀪󰁶
䏯	月士心󰁶
䏰	月刀丶心
䏱	月尸𠃌口
䏲	月丷弓丿
䏳	月扌斤󰀢
䏴	月⺌月󰀝
䏵	月乚丶
䏶	月󰁴匕土
䏷	月日干󰀢
䏸	月五口󰀝
䏹	月目儿󰁀
䏺	月夂三丨
䏻	厶月土厶
䏼	月戈戈󰁶
䏽	月立口󰀝
䏾	月三人󰀟
䏿	丶尸攵月
䐀	月大丁口
䐁	月一󰀓丶
䐂	月󰁭氺󰁶
䐃	月囗禾󰁶
䐄	月⺈臼󰀝
䐅	月尸𠂉大
䐆	月爫木󰁶
䐇	月勹󰁤日
䐈	月十󰀣󰀝
䐉	月巛田󰀝
䐊	月日󰁴匕
䐋	月八厶心
䐌	ㄇ󰁺八月
䐍	月士口䒑
䐎	月日一󰁾
䐏	月三人日
䐐	月禾火󰁶
䐑	月廿󰄃木
䐒	月大夕夕
䐓	月丆貝󰁶
䐔	月丶尸艹
䐕	月口耳󰀝
䐖	月尸米󰁶
䐗	月土丿日
䐘	月爫一又
䐙	月廿󰀜󰀢
䐚	月󰁮卩󰀢
䐛	月大耳󰀝
䐜	月十󰀣八
䐝	月⺌貝󰁶
䐞	月弓冫冫
䐟	月󰀀冂土
䐠	月艹亠󰀸
䐡	󰀴冂人人
䐢	月勹凵丿
䐣	月口貝󰁶
䐤	月⺶工󰀝
䐥	月八厶羽
䐦	月土厶皿
䐧	月󰁸冂口
䐨	士冖一又
䐩	月山一䒑
䐪	月亻󰁷乃
䐫	月彳人󰁾
䐬	月一ㄇ日
䐭	月廿儿丨
䐮	月立丿
䐯	月田幺小
䐰	月亻丨月
䐱	月亠丷古
䐲	月羽白󰀝
䐳	月󰁢灬󰁶
䐴	󰁮󰀄󰁜月
䐵	月󰁺由八
䐶	月󰀄󰁜日
䐷	月口口十
䐸	月󰁬土一
䐹	月󰁬十󰀲
䐺	月覀早󰀢
䐻	月古辛󰀢
䐼	月三丨小
䐽	月廿冂丶
䐾	月罒土十
䐿	月丿ㄇ大
䑀	月尸口辛
䑁	󰀗乂乂月
䑂	月󰀗一八
䑃	月艹冖󰀓
䑄	月丿目󰀯
䑅	月艹罒夕
䑆	月丷王艮
䑇	月斤斤貝
䑈	月白幺木
䑉	月󰄹月丶
䑊	月口丨辶
䑋	月亠口󰀔
䑌	月門木󰀹
䑍	月貝貝女
䑎	月人人󰀞
䑏	月艹口󰁷
䑐	匚丨󰁃小
䑑	匚丨󰁃夫
䑒	一厶土丶
䑓	艹二冖土
䑔	臼一冂丨
䑕	臼几󰀟󰀬
䑖	臼一󰁬󰁾
䑗	臼日一󰁤
䑘	臼⺶工󰀝
䑙	丿古冂二
䑚	丿古月󰀝
䑛	丿古󰁚丶
䑜	丿古廿木
䑝	口口冖㐄
䑞	匚火火㐄
䑟	爫冖夕王
䑠	丿󰁪了󰀢
䑡	丿󰁪又丶
䑢	丿󰁪一儿
䑣	丿󰁪彡󰁥
䑤	丿󰁪人乛
䑥	丿󰁪乃󰂃
䑦	丿󰁪勹口
䑧	丿󰁪亻寸
䑨	丿󰁪𠂉也
䑩	丿󰁪古󰀝
䑪	丿󰁪人口
䑫	丿󰁪䒑廾
䑬	丿󰁪儿󰀪
䑭	丿󰁪氵工
䑮	丿󰁪几木
䑯	丿󰁪丷丿
䑰	丿󰁪止󰀤
䑱	丿󰁪宀⺋
䑲	丿󰁪󰀥早
䑳	丿󰁪人艹
䑴	丿󰁪󰀎八
䑵	丿󰁪󰀰月
䑶	丿󰁪月
䑷	丿󰁪丶月
䑸	丿󰁪宀小
䑹	丿󰁪宀又
䑺	丿󰁪几虫
䑻	丿󰁪方子
䑼	丿󰁪勹丿
䑽	丿󰁪日羽
䑾	丿󰁪亻又
䑿	丿󰁪宀日
䒀	丿󰁪⺮寸
䒁	丿󰁪羽白
䒂	丿󰁪爿寸
䒃	丿󰁪丿辶
䒄	丿󰁪冖田
䒅	丿󰁪丷目
䒆	丿󰁪亠攵
䒇	丿󰁪宀田
䒈	丿󰁪十貝
䒉	丿󰁪𠂉㐄
䒊	八一ㄅ巴
䒋	ㄇ大⺈巴
䒌	冖日六巴
䒍	亠丷冖巴
䒎	艹犬廾巴
䒏	丷󰀺日巴
䒐	艹罒冖巴
䒑	䒑丶丿一
䒒	艹𠃌󰀞󰀘
䒓	艹一ㄅ󰀅
䒔	艹八󰁧
䒕	艹小󰁧
䒖	艹⺄十󰀬
䒗	艹𠂉乙󰀅
䒘	艹夂󰁧
䒙	艹上󰀘
䒚	艹小丿󰁣
䒛	艹幺𠃌󰀅
䒜	艹丿󰀟󰀬
䒝	艹乂乂󰁧
䒞	艹冖󰁜󰀅
䒟	艹󰀼亠󰀘
䒠	艹三丨󰀬
䒡	艹弓丨󰀬
䒢	艹󰁚卩󰀬
䒣	艹冂二󰀘
䒤	艹日󰀘
䒥	艹一冂丨
䒦	艹丿之󰁧
䒧	艹土厶󰁧
䒨	艹𠂉大󰁧
䒩	艹禾󰁧
䒪	艹厶廾󰀬
䒫	艹亻󰀁丶
䒬	艹二小󰁧
䒭	艹ユ寸󰁧
䒮	艹冖几丶
䒯	艹冖九丶
䒰	艹匚王󰀘
䒱	艹了󰀩一
䒲	艹女丿七
䒳	艹几木󰁧
䒴	艹月󰀘
䒵	艹女子󰀘
䒶	艹日󰁒丿
䒷	艹丿古󰀘
䒸	艹丿皿󰀘
䒹	艹二木󰁧
䒺	艹幺小󰁧
䒻	艹山巳󰀅
䒼	艹ㄇ󰁺󰀘
䒽	艹冂乂乂
䒾	艹亠󰀔󰁧
䒿	艹冖月󰀘
䓀	艹士口󰀘
䓁	艹土寸󰁧
䓂	艹言󰀘
䓃	艹口巴󰀅
䓄	艹犭󰁥斤
䓅	艹氵斤󰀬
䓆	艹扌斤󰀬
䓇	艹土󰁖󰁧
䓈	艹彳几又
䓉	艹󰀄亅阝
䓊	艹五口󰀘
䓋	艹氵󰁚󰀁
䓌	艹士心󰁧
䓍	艹日干󰀬
䓎	艹火勹丶
䓏	艹丆卜口
䓐	艹大一乚
䓑	艹氵一廾
䓒	艹勹田󰀘
䓓	艹三丿寸
䓔	艹土丿子
䓕	艹二儿辶
䓖	艹宀八力
䓗	艹八厶心
䓘	艹夂卜口
䓙	艹丿十匕
䓚	艹彳󰀐一
䓛	艹尸凵山
䓜	艹氵󰁚丶
䓝	艹子皿󰀘
䓞	艹丶尸犬
䓟	艹󰀼土口
䓠	艹水日󰀘
䓡	艹𠂉大口
䓢	艹囗古󰀘
䓣	艹一冂丶
䓤	艹勹󰁤心
䓥	丿󰂃艹早
䓦	艹ㄇ󰁺八
䓧	艹了口一
䓨	艹冖𠂉凵
䓩	艹木十又
䓪	艹日勹󰁤
䓫	艹大丁口
䓬	艹󰀥早󰀬
䓭	艹乂朩刂
䓮	艹󰁻乛攵
䓯	艹母󰁧
䓰	艹覀土󰀘
䓱	艹止匕木
䓲	艹亻丷儿
䓳	艹彳艮󰁧
䓴	艹丆冂大
䓵	艹口口口
䓶	艹木口刂
䓷	艹氵彳丁
䓸	艹女女干
䓹	艹人丶艮
䓺	艹丷王大
䓻	艹冖二女
䓼	艹女丶
䓽	艹言己󰀅
䓾	艹氵小女
䓿	艹󰁻囗十
䔀	艹亻禾女
䔁	艹覀木󰁧
䔂	艹宀辛󰀬
䔃	艹礻󰁶一
䔄	艹爫𠂉凵
䔅	艹丁口口
䔆	艹犭󰁥土
䔇	艹山一䒑
䔈	艹工貝󰁧
䔉	艹禾禾󰁧
䔊	艹王䒑廾
䔋	艹糹小丿
䔌	艹白木一
䔍	艹󰀋灬󰁧
䔎	艹木口辶
䔏	艹丿土辶
䔐	艹氵戈戈
䔑	艹人一十
䔒	艹阝立口
䔓	艹言𠂉十
䔔	艹立日儿
䔕	艹月甫󰁧
䔖	艹阝土夂
䔗	艹礻󰁶羊
䔘	艹𠂉十一
䔙	艹釒勹丶
䔚	艹厂二月
䔛	艹󰁴丆貝
䔜	艹耳冂土
䔝	艹止匕小
䔞	艹亠幺十
䔟	艹禾夕夕
䔠	艹木⺌月
䔡	艹󰁢灬󰁧
䔢	艹人人ㄅ
䔣	艹禾刂󰀟
䔤	艹白丆日
䔥	艹󰁬米󰀯
䔦	艹木𠂉母
䔧	艹禾刂木
䔨	艹󰁲丿󰁷
䔩	艹木口攵
䔪	艹大乂乂
䔫	艹乛止冂
䔬	艹田󰁺八
䔭	艹宀心用
䔮	艹󰀎八斤
䔯	艹西一古
䔰	艹宀一田
䔱	艹扌口耳
䔲	艹癶一䒑
䔳	艹󰁝犬灬
䔴	艹凵山又
䔵	艹門木󰁧
䔶	艹扌日󰁾
䔷	艹王王乛
䔸	艹犬犬犬
䔹	艹阝䒑󰀓
䔺	艹阝月
䔻	艹󰁸孑攵
䔼	艹刀丶止
䔽	艹氵日󰄃
䔾	艹扌日󰄃
䔿	艹丷西寸
䕀	艹士二人
䕁	艹丨三木
䕂	艹厶口辶
䕃	艹阝人󰂞
䕄	艹了󰀩皿
䕅	艹女臼又
䕆	艹木人刂
䕇	艹广白厶
䕈	艹爿廿木
䕉	艹罒土十
䕊	艹亠囗一
䕋	艹土广口
䕌	艹禾亻󰁷
䕍	艹亠󰀔口
䕎	艹日一田
䕏	艹丷王丶
䕐	艹礻󰁶田
䕑	艹糹爫女
䕒	艹士口口
䕓	艹宀󰁯小
䕔	艹彳釒丁
䕕	艹氵日又
䕖	艹孑丿辶
䕗	艹丿目󰀯
䕘	艹人丶貝
䕙	艹十戈󰁷
䕚	艹匚口貝
䕛	艹言大人
䕜	艹羽亠十
䕝	艹禾爫土
䕞	艹門丶艮
䕟	艹󰀗ㄇ八
䕠	艹广癶又
䕡	艹門口口
䕢	艹石⺶工
䕣	艹衤󰁧󰄃
䕤	艹口口阝
䕥	艹八八乂
䕦	艹󰄹月丶
䕧	艹󰀾月乂
䕨	艹月丷小
䕩	艹木大小
䕪	艹氵罒十
䕫	艹白止夂
䕬	艹弓一一
䕭	艹土八火
䕮	艹土䒑米
䕯	艹覀二󰂃
䕰	艹火丿田
䕱	艹一口貝
䕲	艹广亠小
䕳	艹弓一乂
䕴	艹禾亻灬
䕵	艹士口灬
䕶	艹言亻又
䕷	艹广木小
䕸	艹󰀹土口
䕹	艹亠人󰁷
䕺	艹业丷又
䕻	艹一ㄇ匕
䕼	艹廿口󰁷
䕽	艹口止虫
䕾	艹口口攵
䕿	艹廿口灬
䖀	艹口口口
䖁	艹日冂心
䖂	艹言糹手
䖃	艹口口
䖄	艹廿口灬
䖅	艹󰀙口人
䖆	艹西一󰀔
䖇	艹木𠂉彡
䖈	虍匕󰁫
䖉	虍一󰀛󰀵
䖊	乂虍几󰁀
䖋	虍几人󰁶
䖌	虍几刂󰀢
䖍	虍攵󰀦
䖎	阝虍几󰁀
䖏	虍勹󰁤󰂃
䖐	斤虍几󰁀
䖑	虍几日󰀌
䖒	虍一口䒑
䖓	凵山虍几
䖔	土厶虍几
䖕	虍几󰀐一
䖖	虍几甲󰀵
䖗	虍戊一口
䖘	虍几⺈丶
䖙	匚丨󰁃几
䖚	虍几󰁞灬
䖛	虍几十小
䖜	虍几虍日
䖝	丿虫󰀦
䖞	虫寸󰁶
䖟	亠󰄃虫󰁧
䖠	虫几丶󰁶
䖡	虫󰁈丨一
䖢	虫小丿󰁥
䖣	虫⺁丨󰂃
䖤	夕⺋虫󰁧
䖥	󰁻乛亅虫
䖦	虫凵山󰀢
䖧	虫日一󰀝
䖨	虫石󰀝
䖩	虫心丿󰁥
䖪	止匕虫󰁧
䖫	虫八干󰀢
䖬	虫甲󰀢
䖭	丷夫虫󰁧
䖮	虫丿冂口
䖯	土土虫󰁧
䖰	虫⺁󰀕󰁶
䖱	虫匚王󰀝
䖲	虫勹日󰀝
䖳	虫宀丿七
䖴	虫儿󰀪󰁶
䖵	虫虫󰁶
䖶	虫一󰀓󰁶
䖷	虫乂丨
䖸	丿扌󰁒虫
䖹	虫丨一干
䖺	亻丨夂虫
䖻	虫亠厶󰀸
䖼	虫土厶卩
䖽	禾刂虫󰁧
䖾	虫宀二儿
䖿	禾勹丿虫
䗀	虫土八夂
䗁	虫大丁口
䗂	虫虍几󰁀
䗃	虫戈戈󰁶
䗄	虫八乂斤
䗅	虫󰀍󰀖󰁶
䗆	虫宀󰃧󰀝
䗇	虫勹米󰁶
䗈	虫亠󰄃目
䗉	虫日日󰀝
䗊	虫火火󰁶
䗋	虫甘木󰁶
䗌	虫日丿
䗍	彑󰀓虫󰁧
䗎	虫覀土󰀝
䗏	虫宀火又
䗐	方𠂉也虫
䗑	虫日立󰀝
䗒	虫䒑业󰀝
䗓	虫勹󰁤心
䗔	虫亻ユ大
䗕	宀夕⺋虫
䗖	虫一〣丨
䗗	虫⺮一廾
䗘	虫土厶皿
䗙	宀󰀀八虫
䗚	虫甫寸󰁶
䗛	虫亻丨月
䗜	虫󰁚丶田
䗝	礻󰁶日虫
䗞	一大虫虫
䗟	匚𠂉大虫
䗠	方𠂉乛虫
䗡	虫一止灬
䗢	虫丿土辶
䗣	甘虫虫󰁧
䗤	虫广󰁬丨
䗥	虫彳人󰁾
䗦	虫夂三辶
䗧	虫广󰁬氺
䗨	虫󰁢灬󰁶
䗩	虫戊上小
䗪	广廿灬虫
䗫	虫广木木
䗬	夂三丨虫
䗭	虫口口心
䗮	虫大乂乂
䗯	虫亻󰁷辶
䗰	虫毌貝󰁶
䗱	虫业䒑夫
䗲	虫米夕㐄
䗳	虫癶一䒑
䗴	虫⺮丿廴
䗵	虫一田一
䗶	虫艹日󰄃
䗷	虫立日心
䗸	亠󰁲丿虫
䗹	虫䒑幺心
䗺	丿󰀥󰄃虫
䗻	虫⺮󰁮卩
䗼	虫丿一灬
䗽	糹亻󰁷虫
䗾	虫日幺灬
䗿	虫宀心丁
䘀	丿󰃧十虫
䘁	十戈亻虫
䘂	虫十戈󰀞
䘃	虫󰀹土土
䘄	土丿日虫
䘅	厶月匕虫
䘆	虫宀三心
䘇	文虫虫虫
䘈	虫厂艹力
䘉	一大虫虫
䘊	虫⺮罒人
䘋	虫人人󰀞
䘌	匚艹虫
䘍	艹日冂虫
䘎	虫言糹弓
䘏	丿皿阝󰀢
䘐	丿皿刀八
䘑	丿皿丶󰀩
䘒	丿皿厶夂
䘓	丿皿⺈臼
䘔	丿皿宀口
䘕	彳亠几丁
䘖	彳𠂉十丁
䘗	彳山丿丁
䘘	彳幺丁
䘙	彳󰁆口丁
䘚	亠󰀔十󰀬
䘛	衤󰁧几󰁀
䘜	衤󰁧冂丨
䘝	衤󰁧󰀁丶
䘞	衤󰁧󰀊一
䘟	衤󰁧弓丨
䘠	衤󰁧乂
䘡	󰁴匕亠󰀔
䘢	衤󰁧宀丁
䘣	衤󰁧止匕
䘤	衤󰁧木丶
䘥	衤󰁧甲󰀢
䘦	衤󰁧尸匕
䘧	衤󰁧ㄇ大
䘨	衤󰁧六乂
䘩	衤󰁧勹日
䘪	衤󰁧亠儿
䘫	女口亠󰀔
䘬	衤󰁧戈
䘭	衤󰁧一土
䘮	土人人󰀖
䘯	衤󰁧⺌月
䘰	衤󰁧丿廴
䘱	六人口󰀔
䘲	衤󰁧󰁬又
䘳	衤󰁧金󰀝
䘴	衤󰁧木厶
䘵	衤󰁧󰁭氺
䘶	衤󰁧了凵
䘷	衤󰁧㡀󰁶
䘸	衤󰁧亠丶
䘹	衤󰁧亠十
䘺	衤󰁧宀󰁾
䘻	衤󰁧亠月
䘼	衤󰁧宀⺋
䘽	衤󰁧臼儿
䘾	衤󰁧宀󰃧
䘿	衤󰁧尸山
䙀	衤󰁧月月
䙁	衤󰁧戈戈
䙂	衤󰁧八心
䙃	衤󰁧月
䙄	衤󰁧丿臼
䙅	衤󰁧覀女
䙆	衤󰁧癶大
䙇	衤󰁧丆大
䙈	衤󰁧亻大
䙉	衤󰁧⺁目
䙊	衤󰁧一丨
䙋	衤󰁧宀一
䙌	衤󰁧口贝
䙍	衤󰁧⺄丨
䙎	衤󰁧爫大
䙏	衤󰁧甫寸
䙐	衤󰁧一丨
䙑	衤󰁧亠󰀔
䙒	衤󰁧亠田
䙓	衤󰁧罒厶
䙔	衤󰁧匚口
䙕	衤󰁧彳󰁾
䙖	衤󰁧山月
䙗	衤󰁧亠古
䙘	衤󰁧戊小
䙙	衤󰁧尸󰀟
䙚	󰁟灬亠󰀔
䙛	衤󰁧六󰀔
䙜	衤󰁧夂辶
䙝	亠土䒑󰀔
䙞	衤󰁧癶䒑
䙟	衤󰁧囗㐄
䙠	衤󰁧厂人
䙡	衤󰁧口貝
䙢	衤󰁧丷日
䙣	衤󰁧一三
䙤	衤󰁧ㄇ辶
䙥	衤󰁧󰀙󰁻
䙦	衤󰁧艹夕
䙧	衤󰁧丿灬
䙨	衤󰁧日󰀔
䙩	衤󰁧艹󰀓
䙪	木乂乂󰀔
䙫	衤󰁧丬八
䙬	衤󰁧貝女
䙭	衤󰁧宀󰁾
䙮	衤󰁧艹󰁷
䙯	衤󰁧戊󰁾
䙰	衤󰁧亠󰁷
䙱	衤󰁧尸虫
䙲	覀大󰁧
䙳	覀火󰁧
䙴	覀大巳󰀅
䙵	覀土土󰀘
䙶	西冖󰀔󰁶
䙷	目儿寸󰁧
䙸	目儿寸󰀦
䙹	一廾目儿
䙺	火目儿󰁀
䙻	丿ㄅ丨儿
䙼	刀口目儿
䙽	大丷目儿
䙾	宀匕目儿
䙿	未目儿󰁀
䚀	丿󰁪目儿
䚁	丿冂口儿
䚂	土󰁖目儿
䚃	󰀥囗󰁃儿
䚄	󰁭氺目儿
䚅	木人人儿
䚆	艹ㄇ大儿
䚇	小丿目儿
䚈	覀土目儿
䚉	三丨刀儿
䚊	䒑八皿儿
䚋	口貝目儿
䚌	白大十儿
䚍	貝目儿
䚎	三人臼儿
䚏	米夕㐄儿
䚐	𠂉大口儿
䚑	罒貝目儿
䚒	立日土儿
䚓	覀早目儿
䚔	宀一󰀤儿
䚕	一ㄇ丶儿
䚖	󰀙口口儿
䚗	⺈用八厶
䚘	彳⺈用丁
䚙	⺈用一一
䚚	⺈用丿儿
䚛	⺈用丿口
䚜	⺈用白十
䚝	⺈用亠十
䚞	⺈用木人
䚟	⺈用日寸
䚠	⺈用日匕
䚡	⺈用田心
䚢	⺈用廿木
䚣	⺈用日󰁾
䚤	⺈用日丶
䚥	⺈用弓冫
䚦	⺈用⺁几
䚧	⺈用羽彡
䚨	⺈用癶又
䚩	⺈用丿口
䚪	⺈用罒󰀔
䚫	白方攵用
䚬	⺈用米㐄
䚭	⺈用艹󰁷
䚮	言乃󰁥
䚯	言刂󰀢
䚰	言匕󰁀
䚱	言小󰁶
䚲	言彡󰁥
䚳	言十又󰁶
䚴	言月󰀝
䚵	言󰁦十󰀢
䚶	言一大󰁶
䚷	言八一ㄅ
䚸	言人󰀯󰀢
䚹	言󰁴匕󰁀
䚺	言攵󰁶
䚻	󰁝言󰀘
䚼	言󰁈丨一
䚽	言毛󰁀
䚾	言丿士󰀝
䚿	言⺈人󰁶
䛀	言⺁又󰁶
䛁	言冂二󰀝
䛂	言丿廾󰀢
䛃	言二儿󰁀
䛄	言夕⺋󰁀
䛅	言甲󰀢
䛆	言由󰀝
䛇	言几口󰀝
䛈	言𠂉大󰁶
䛉	言󰁂󰀁󰁀
䛊	言口八󰁶
䛋	言戊󰁶
䛌	言勹巳󰁀
䛍	言弓󰀯󰀢
䛎	言宀八󰁶
䛏	言尸匕󰁀
䛐	𠃌一口言
䛑	言心丿󰁥
䛒	工一ㄅ言
䛓	〢𠂉丶言
䛔	言丆冂〢
䛕	言日乂󰁶
䛖	言日󰁒丿
䛗	匚丨󰁃言
䛘	言亻丿士
䛙	言亻木󰁶
䛚	三丨刀言
䛛	言囗口󰀝
䛜	言丿囗乂
䛝	言󰁈丨山
䛞	言日干󰀢
䛟	言大人人
䛠	言一口䒑
䛡	言󰁚󰀁口
䛢	言禾几󰁀
䛣	言由一ㄅ
䛤	言口󰁾󰁶
䛥	言乂丨
䛦	言八人口
䛧	言米󰄃󰁀
䛨	言辛󰀢
䛩	言一󰀚一
䛪	言宀八弓
䛫	言󰀍󰀖󰁶
䛬	言勹𠂉凵
䛭	言土䒑十
䛮	言夂卜口
䛯	言尸古󰀝
䛰	言日󰁴匕
䛱	言口丨心
䛲	言白冂丨
䛳	言大日乚
䛴	言大丁口
䛵	言爫冖又
䛶	言三丨木
䛷	言宀夕⺋
䛸	言广󰀥口
䛹	言彑󰀓󰁶
䛺	言田八󰀯
䛻	言⺁十目
䛼	言臼工󰀝
䛽	言丿十臼
䛾	言幺小
䛿	言一口丨
䜀	言刀丶止
䜁	言土土大
䜂	言白大十
䜃	言亻󰁷土
䜄	言尸氺󰀟
䜅	言山亻󰁷
䜆	广木木言
䜇	言六厶󰀔
䜈	言巛日木
䜉	言木人氺
䜊	言一ㄇ日
䜋	言口丨貝
䜌	言糹糹󰁶
䜍	言大丷小
䜎	言火火力
䜏	言阝辶
䜐	阝工言
䜑	言一󰀚心
䜒	言丿ㄇ大
䜓	言艹廿木
䜔	言工辶
䜕	言艹日丶
䜖	言覀貝󰁶
䜗	言戊一心
䜘	言艹勹攵
䜙	言日幺灬
䜚	言罒󰀫辶
䜛	言⺈口󰁜
䜜	言󰀥冖目
䜝	言幺幺󰄃
䜞	言󰀴󰀳󰀝
䜟	言十戈󰀞
䜠	言斤斤貝
䜡	言丆󰀐夂
䜢	言宀三心
䜣	讠斤󰀢
䜤	讠󰁺八󰁶
䜥	讠日一廴
䜦	讠艹勹日
䜧	讠刀丶止
䜨	讠口口心
䜩	讠廿口灬
䜪	八人口九
䜫	八人口工
䜬	八人口由
䜭	󰀥冖一口
䜮	八人口󰀟
䜯	八人口米
䜰	八人口十
䜱	八人口又
䜲	八人口󰁒
䜳	一口䒑󰄃
䜴	一口䒑又
䜵	一口䒑皮
䜶	一口䒑㐄
䜷	一口䒑又
䜸	一口䒑毛
䜹	一口䒑口
䜺	一口䒑日
䜻	一口䒑󰁾
䜼	󰁻乛亅䒑
䜽	一口䒑刂
䜾	一口䒑日
䜿	匚丨󰁃䒑
䝀	一口䒑田
䝁	火火冖䒑
䝂	匚丨󰁃䒑
䝃	一口䒑灬
䝄	一口䒑又
䝅	一󰀓土󰀝
䝆	勹󰁤一󰀓
䝇	八儿一󰀓
䝈	一󰀓⺁⺋
䝉	〢丷冖󰀓
䝊	一󰀓一󰁾
䝋	一󰀓宀小
䝌	一󰀓又又
䝍	一󰀓冖車
䝎	一󰀓山〢
